num_inspections,num_violations,violations_per_inspection,boro_0,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,cuisine_American,cuisine_Bakery Products/Desserts,cuisine_Caribbean,cuisine_Chicken,cuisine_Chinese,cuisine_Coffee/Tea,cuisine_Donuts,cuisine_Hamburgers,cuisine_Italian,cuisine_Japanese,"cuisine_Juice, Smoothies, Fruit Salads",cuisine_Latin American,cuisine_Mexican,cuisine_Pizza,cuisine_Sandwiches,cuisine_Other,target
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.11394577209012617,1.0626421821554026,1.2626959792017345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.11394577209012617,1.9604511606088866,2.412737459637457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.587795348656703,1.5115466713821446,-0.17485587134291866,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,0.16483320370191895,2.412737459637457,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,-0.28407128552482297,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.3508705603734144,1.9604511606088866,0.8793488190564934,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,3.307164628289112,2.0293902994922157,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,1.5115466713821446,0.496001658911253,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.587795348656703,1.9604511606088866,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.587795348656703,4.653878095969338,1.8377167194195956,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.11394577209012617,4.653878095969338,5.8628619009446235,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,1.9604511606088866,0.8793488190564934,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,1.5115466713821446,0.496001658911253,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.3508705603734144,1.9604511606088866,0.8793488190564934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,1.5115466713821446,1.8377167194195956,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.11394577209012617,1.0626421821554026,1.2626959792017345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.3508705603734144,0.6137376929286609,-0.27069266137922876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,1.5115466713821446,1.8377167194195956,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.587795348656703,0.6137376929286609,-0.7498766115607799,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.3508705603734144,0.6137376929286609,-0.27069266137922876,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.11394577209012617,1.0626421821554026,1.2626959792017345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,2.8582601390623705,1.6460431393469754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,-0.28407128552482297,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.3508705603734144,0.6137376929286609,-0.27069266137922876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.3508705603734144,2.4093556498356286,1.2626959792017345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,-0.28407128552482297,-1.0373869816697106,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.3508705603734144,0.6137376929286609,-0.27069266137922876,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,1.0626421821554026,0.11265449876601195,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.11394577209012617,0.6137376929286609,0.6876752389838732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.28407128552482297,-0.4623662414518493,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,-0.7329757747515648,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3508705603734144,0.6137376929286609,-0.27069266137922876,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.3508705603734144,0.16483320370191895,-0.6540398215244698,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.28407128552482297,1.2626959792017345,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,1.9604511606088866,2.412737459637457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
-1.122979016193162,0.16483320370191895,2.412737459637457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.587795348656703,2.4093556498356286,0.40016486887494257,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.122979016193162,-0.7329757747515648,0.11265449876601195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.122979016193162,-1.1818802639783068,-1.0373869816697106,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.3508705603734144,-0.28407128552482297,-1.0373869816697106,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,2.4093556498356286,2.987758199855318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.587795348656703,2.4093556498356286,0.40016486887494257,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11394577209012617,0.16483320370191895,0.11265449876601195,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
